Nb points     Liste         Hachage 1         Hachage 2         Hachage 3         Arbre    
50000         6.9286660     0.0309670         0.0186050         0.0169520         0.0209000
100000        31.4858060    0.0641050         0.0312920         0.0349040         0.0672780
150000        110.3903600   0.1714130         0.0911080         0.1207920         0.1041530
200000        265.3996070   0.6676660         0.1946960         0.1454820         0.2247780
250000        437.3733150   0.8506060         0.3892080         0.3005430         0.2670300
300000        659.8052000   1.5497540         0.3708560         0.2214510         0.3408280
350000        959.2189810   1.9639290         0.4186500         0.3390400         0.5766250
400000        1353.2938460  3.1624130         0.7151920         0.4472820         0.6266120
450000        1794.5908380  3.7829180         0.7530310         0.6212740         0.6996300
500000        1917.2308270  3.3812950         0.7199490         0.5937790         0.7024530
